backend_requested,backend_resolved,benchmark_schema_version,cuda_peak_allocated_bytes,dequant_mean_s,device,dtype,head_dim,kv_heads,layers,load_mean_s,max_abs_error_vs_pytorch,model,model_revision,repeats,restore_mean_s,restore_p50_s,restore_p95_s,restored_bytes,result_schema_version,seed,stored_gib_per_s,stored_int8_bytes,tokens,transfer_mean_s,warmup
pytorch,pytorch,quality-int8-restore-benchmark-v1,52195328,0.0037855396999816548,cuda,float16,128,2,28,3.211529999589402e-05,0.0,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,0.009141532200010261,0.008959415500044088,0.010577197699984709,14680064,quality-kv-v3,42,0.747834671796677,7340480,512,0.005167870500008576,2
triton,triton,quality-int8-restore-benchmark-v1,51408896,0.002910761900000125,cuda,float16,128,2,28,2.711300001010386e-05,0.0,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,0.008031883199987534,0.007962721000012607,0.008811933949948525,14680064,quality-kv-v3,42,0.8511521597480449,7340480,512,0.004946537700004683,2
pytorch,pytorch,quality-int8-restore-benchmark-v1,208695296,0.003155760000004193,cuda,float16,128,2,28,2.1434199993564107e-05,0.0,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,0.013737506999996185,0.01318363299998282,0.016411966599991955,58720256,quality-kv-v3,42,1.9904752174117926,29360576,2048,0.010444012000004933,2
triton,triton,quality-int8-restore-benchmark-v1,205549568,0.0015042996999909519,cuda,float16,128,2,28,1.592540002093301e-05,0.0,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,0.0115813502999913,0.01152362849995825,0.01182400485001267,58720256,quality-kv-v3,42,2.361051736129074,29360576,2048,0.009964608500001759,2
pytorch,pytorch,quality-int8-restore-benchmark-v1,834695168,0.011188590699964607,cuda,float16,128,2,28,2.7170299995304957e-05,0.0,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,0.04348041430001785,0.04341862700005095,0.04447756554999387,234881024,quality-kv-v3,42,2.5155100059032445,117440960,8192,0.03215244630000598,2
triton,triton,quality-int8-restore-benchmark-v1,822112256,0.002189232599994284,cuda,float16,128,2,28,1.872179998372303e-05,0.0,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,0.034324458200023854,0.034078901000043516,0.0356394406000561,234881024,quality-kv-v3,42,3.1865154752082123,117440960,8192,0.032009578800023065,2
