accuracy_delta_vs_full,agreement_vs_full,full_accuracy,full_hard_accuracy,hard_accuracy_delta_vs_full,label_mismatches,max_label_logit_delta_vs_full,mean_max_label_logit_delta_vs_full,segmented_accuracy,segmented_hard_accuracy,unique_label_mismatches,workload
0.0,1.0,0.51,0.35714285714285715,0.0,0,0.125,0.03375,0.51,0.35714285714285715,0,random
-0.020000000000000018,0.98,0.62,0.5535714285714286,-0.0357142857142857,2,0.09375,0.03375,0.6,0.5178571428571429,1,zipf
